cell_id,pred_phase,pred_age
cell_0000,G1,615.7904
cell_0001,S,726.5786667
cell_0002,G1,297.2944
cell_0003,G2,805.4752
cell_0005,G1,109.6944
cell_0006,G1,778.3258667
cell_0007,S,384.4256
cell_0008,S,396.1568
cell_0009,G1,220.3541333
cell_0010,G1,250.2848
cell_0011,G1,888.2890667
cell_0012,G1,122.2538667
cell_0013,S,456.1792
cell_0014,S,352.1018667
cell_0015,S,576.0389333
cell_0016,G1,193.0453333
cell_0017,S,648.5162667
cell_0018,G2,976.9626667
cell_0019,G1,172.2384
cell_0020,G2,1162.56
cell_0021,G1,222.9178667
cell_0022,G1,227.8709333
cell_0023,G1,684.4645333
cell_0024,S,315.9914667
cell_0025,G1,171.9882667
cell_0026,G1,9.8224
cell_0028,G1,179.4842667
cell_0030,G1,251.0634667
cell_0031,S,378.9626667
cell_0033,G1,9.394133333
cell_0034,S,703.5808
cell_0035,G1,689.4517333
cell_0037,G2,1019.896
cell_0038,G1,58.92586667
cell_0040,G1,213.536
cell_0041,G1,246.7797333
cell_0043,G1,449.576
cell_0044,G1,875.5808
cell_0045,S,677.4816
cell_0048,G1,341.9456
cell_0049,S,382.4282667
cell_0050,S,452.4314667
cell_0055,G1,221.9802667
cell_0056,G2,898.2709333
cell_0059,G1,246.4042667
cell_0063,G1,168.1701333
cell_0068,G1,512.5136
cell_0069,S,432.0586667
cell_0070,G2,921.3557333
cell_0072,G1,146.0906667
cell_0073,G1,361.4762667
cell_0075,G2,1053.978133
cell_0078,G1,232.1637333
cell_0079,G1,148.7754667
cell_0081,G1,157.4938667
cell_0083,G1,471.4885333
cell_0084,G1,126.6362667
cell_0087,S,857.7034667
cell_0090,G2,1095.499733
cell_0092,G1,113.3072
cell_0098,G1,423.1056
cell_0099,G1,20.78826667
cell_0104,S,782.8202667
cell_0107,G1,276.896
cell_0108,G1,201.808
cell_0110,G1,244.7541333
cell_0111,S,684.7205333
cell_0112,G1,203.2912
cell_0124,G2,878.6506667
cell_0127,S,410.4144
cell_0130,S,949.4309333
cell_0131,G1,213.9909333
cell_0133,S,385.2832
cell_0136,S,400.6021333
cell_0137,G1,931.376
cell_0139,G1,311.2309333
cell_0141,G1,263.2144
cell_0143,G1,279.1408
cell_0150,G2,979.5370667
cell_0151,G2,1110.0272
cell_0152,S,490.5930667
cell_0153,G1,206.832
cell_0158,S,570.6362667
cell_0159,S,700.9429333
cell_0160,S,730.7648
cell_0161,G1,48.8224
cell_0163,G1,155.7653333
cell_0170,G1,227.3669333
cell_0171,G1,832.3141333
cell_0175,G2,1054.748267
cell_0176,G2,871.4053333
cell_0178,G1,139.8261333
cell_0182,G1,318.12
cell_0189,S,439.1242667
cell_0193,G1,193.4250667
cell_0195,G1,286.7642667
cell_0199,S,670.0042667
cell_0209,G1,304.4218667
cell_0210,G2,1100.845867
cell_0212,G1,66.69066667
cell_0215,G1,72.13173333
cell_0217,S,650.6917333
cell_0218,G1,159.1866667
cell_0219,S,526.6922667
cell_0220,G1,139.0133333
cell_0222,G1,114.0586667
cell_0226,G1,148.3093333
cell_0227,G1,200.4357333
cell_0229,G1,756.0901333
cell_0230,G1,19.81066667
cell_0231,G1,141.9562667
cell_0235,G1,702.4421333
cell_0237,G1,52.54293333
cell_0240,G1,181.816
cell_0248,G1,165.6970667
cell_0251,G1,36.71786667
cell_0253,G1,355.0090667
cell_0255,G2,813.8048
cell_0261,G1,165.8864
cell_0262,G1,140.1813333
cell_0265,G1,236.3850667
cell_0267,S,695.1712
cell_0272,S,639.0352
cell_0275,G1,218.784
cell_0277,S,371.0533333
cell_0280,G1,223.368
cell_0283,G1,155.1957333
cell_0286,G1,150.9930667
cell_0287,G1,160.5696
cell_0291,G1,211.0928
cell_0292,G2,1037.528533
cell_0293,S,412.4106667
cell_0294,G1,143.9050667
cell_0295,S,683.7408
cell_0298,S,667.952
cell_0302,G1,141.5525333
cell_0306,G1,363.8005333
cell_0313,S,526.6581333
cell_0314,G1,131.1877333
cell_0315,G1,245.6554667
cell_0318,G1,271.0448
cell_0320,G1,260.4021333
cell_0322,G1,184.9461333
cell_0323,G1,262.1786667
cell_0325,S,822.4981333
cell_0327,G1,38.79786667
cell_0329,G1,155.4874667
cell_0330,G1,808.5029333
cell_0332,G1,227.6261333
cell_0335,G2,1103.172267
cell_0336,G1,226.0010667
cell_0337,G1,266.3354667
cell_0338,G1,188.5338667
cell_0345,G1,166.2202667
cell_0346,G2,965.2304
cell_0349,S,586.2874667
cell_0355,G1,185.4325333
cell_0356,G2,1147.5952
cell_0360,G1,145.8170667
cell_0361,S,670.0117333
cell_0365,G1,955.0416
cell_0366,S,395.9370667
cell_0367,S,696.728
cell_0368,S,375.8373333
cell_0369,G2,1036.653333
cell_0371,G1,101.3872
cell_0372,G1,74.46186667
cell_0374,G1,464.768
cell_0375,S,750.4864
cell_0378,G1,154.3722667
cell_0384,G1,111.1696
cell_0386,G1,92.62933333
cell_0388,G1,201.128
cell_0389,G2,997.9968
cell_0391,S,634.3802667
cell_0392,G1,21.60853333
cell_0393,S,426.9888
cell_0396,G2,812.4554667
cell_0399,S,497.4656
cell_0400,G1,236.7658667
cell_0401,G1,203.1776
cell_0402,S,420.1834667
cell_0403,G2,895.7024
cell_0405,S,383.6512
cell_0407,S,371.8698667
cell_0408,G1,175.6122667
cell_0412,S,664.6037333
cell_0413,S,664.3114667
cell_0414,G2,936.1898667
cell_0416,G1,1140.429333
cell_0418,S,618.4677333
cell_0421,S,440.7472
cell_0424,S,591.1568
cell_0425,S,561.7322667
cell_0426,S,425.032
cell_0428,G1,773.2133333
cell_0429,G1,547.5376
cell_0432,G1,41.4176
cell_0436,G1,32.2576
cell_0439,G2,1054.130133
cell_0441,G2,989.7306667
cell_0442,G1,260.1818667
