cell_id,pred_phase,pred_age
0,G1,615.7904
1,S,726.5786667
2,G1,297.2944
3,G2,805.4752
5,G1,109.6944
6,G1,778.3258667
7,S,384.4256
8,S,396.1568
9,G1,220.3541333
10,G1,250.2848
11,G1,888.2890667
12,G1,122.2538667
13,S,456.1792
14,S,352.1018667
15,S,576.0389333
16,G1,193.0453333
17,S,648.5162667
18,G2,976.9626667
19,G1,172.2384
20,G2,1162.56
21,G1,222.9178667
22,G1,227.8709333
23,G1,684.4645333
24,S,315.9914667
25,G1,171.9882667
26,G1,9.8224
28,G1,179.4842667
29,,
30,G1,251.0634667
31,S,378.9626667
32,,
33,G1,9.394133333
34,S,703.5808
35,G1,689.4517333
36,,961.456
37,G2,1019.896
38,G1,58.92586667
39,,849.3061333
40,G1,213.536
41,G1,246.7797333
42,,
43,G1,449.576
44,G1,875.5808
45,S,677.4816
46,,
47,,
48,G1,341.9456
49,S,382.4282667
50,S,452.4314667
51,,938.328
52,,1019.6848
53,,
54,,971.7184
55,G1,221.9802667
56,G2,898.2709333
57,,
58,,
59,G1,246.4042667
60,,
61,,1018.413867
62,,1107.896
63,G1,168.1701333
64,,
66,,
67,,1007.770667
68,G1,512.5136
69,S,432.0586667
70,G2,921.3557333
71,,
72,G1,146.0906667
73,G1,361.4762667
74,,
75,G2,1053.978133
76,,985.1034667
77,,
78,G1,232.1637333
79,G1,148.7754667
80,,694.3578667
81,G1,157.4938667
82,,
83,G1,471.4885333
84,G1,126.6362667
86,,
87,S,857.7034667
88,,
89,,
90,G2,1095.499733
91,,
92,G1,113.3072
93,,
94,,
95,,
96,,952.9989333
97,,
98,G1,423.1056
99,G1,20.78826667
100,,
101,M,1083.498133
102,,
103,,
104,S,782.8202667
105,,
106,,
107,G1,276.896
108,G1,201.808
109,,
110,G1,244.7541333
111,S,684.7205333
112,G1,203.2912
113,,
114,,
115,,961.2794667
116,,
117,,
118,,
119,,
120,,
121,,936.264
122,,
123,,514.5061333
124,G2,878.6506667
125,,
126,,
127,S,410.4144
128,,
129,,
130,S,949.4309333
131,G1,213.9909333
132,,
133,S,385.2832
134,,462.7248
136,S,400.6021333
137,G1,931.376
138,,
139,G1,311.2309333
140,,
141,G1,263.2144
142,,
143,G1,279.1408
144,,
145,,
146,,
147,,
148,,
149,,
150,G2,979.5370667
151,G2,1110.0272
152,S,490.5930667
153,G1,206.832
154,,
155,,
156,,1005.299733
157,,536.3114667
158,S,570.6362667
159,S,700.9429333
160,S,730.7648
161,G1,48.8224
162,,
163,G1,155.7653333
165,,
166,,967.5024
167,,
168,,
169,,668.7077333
170,G1,227.3669333
171,G1,832.3141333
172,,
173,M,1031.64
174,,
175,G2,1054.748267
176,G2,871.4053333
177,,
178,G1,139.8261333
179,,
180,,
181,,
182,G1,318.12
183,,
184,,
185,,
186,,
187,,
188,,
189,S,439.1242667
190,,
191,,643.5610667
192,,
193,G1,193.4250667
194,,
195,G1,286.7642667
196,,
197,,
198,,
199,S,670.0042667
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,G1,304.4218667
210,G2,1100.845867
211,,
212,G1,66.69066667
213,,
214,,
215,G1,72.13173333
216,,
217,S,650.6917333
218,G1,159.1866667
219,S,526.6922667
220,G1,139.0133333
221,,
222,G1,114.0586667
223,,
224,,
225,,
226,G1,148.3093333
227,G1,200.4357333
228,,
229,G1,756.0901333
230,G1,19.81066667
231,G1,141.9562667
232,M,1041.243733
233,,
234,,
235,G1,702.4421333
236,,
237,G1,52.54293333
238,,
239,,
240,G1,181.816
241,,
242,,
243,M,1083.3184
244,,
245,,
246,,879.1632
247,,
248,G1,165.6970667
249,,
250,,
251,G1,36.71786667
252,,
253,G1,355.0090667
254,,957.5141333
255,G2,813.8048
256,,
257,,
258,,
259,,
260,,
261,G1,165.8864
262,G1,140.1813333
263,,
264,,
265,G1,236.3850667
266,,
267,S,695.1712
268,,
269,,
270,,
271,,
272,S,639.0352
273,,
274,,
275,G1,218.784
276,,
277,S,371.0533333
278,,
279,,
280,G1,223.368
281,,
282,,
283,G1,155.1957333
284,,
285,,
286,G1,150.9930667
287,G1,160.5696
288,,
289,,
290,,
291,G1,211.0928
292,G2,1037.528533
293,S,412.4106667
294,G1,143.9050667
295,S,683.7408
296,,
297,,
298,S,667.952
299,,
300,,
301,,
302,G1,141.5525333
303,,
304,,
305,,
306,G1,363.8005333
307,,
308,,
309,,
310,,
311,,
312,,699.1349333
313,S,526.6581333
314,G1,131.1877333
315,G1,245.6554667
316,,
317,,
318,G1,271.0448
319,,
320,G1,260.4021333
321,,
322,G1,184.9461333
323,G1,262.1786667
324,,
325,S,822.4981333
326,,
327,G1,38.79786667
328,,
329,G1,155.4874667
330,G1,808.5029333
331,,
332,G1,227.6261333
333,,
334,,
335,G2,1103.172267
336,G1,226.0010667
337,G1,266.3354667
338,G1,188.5338667
339,,
340,,
341,,
342,,
343,,
344,,
345,G1,166.2202667
346,G2,965.2304
347,,
348,,
349,S,586.2874667
350,,
351,,
352,,
353,,
354,,
355,G1,185.4325333
356,G2,1147.5952
357,,
358,,
359,,
360,G1,145.8170667
361,S,670.0117333
362,,
363,,
364,,
365,G1,955.0416
366,S,395.9370667
367,S,696.728
368,S,375.8373333
369,G2,1036.653333
370,,
371,G1,101.3872
372,G1,74.46186667
373,,
374,G1,464.768
375,S,750.4864
376,,
377,,
378,G1,154.3722667
379,,
380,,
381,,
382,,
383,,
384,G1,111.1696
385,,
386,G1,92.62933333
387,,
388,G1,201.128
389,G2,997.9968
390,,
391,S,634.3802667
392,G1,21.60853333
393,S,426.9888
394,,
395,,
396,G2,812.4554667
397,,
398,,
399,S,497.4656
400,G1,236.7658667
401,G1,203.1776
402,S,420.1834667
403,G2,895.7024
404,,
405,S,383.6512
406,,
407,S,371.8698667
408,G1,175.6122667
409,,
410,,
411,,790.0101333
412,S,664.6037333
413,S,664.3114667
414,G2,936.1898667
415,,
